CATEGORIE,BUDGET_PREVISIONNEL,BUDGET_DETAILLE,BUDGET_NON_AFFECTE,STATUT_DETAIL,POURCENTAGE_DETAIL
SAFF,1310280.0,1310280.0,0.0,DETAILLE,100.0
EXPOSITION A SAFF,45000.0,45000.0,0.0,DETAILLE,100.0
TRANSPORT,850000.0,850000.0,0.0,DETAILLE,100.0
CAVEAU,300000.0,0.0,300000.0,NON DETAILLE,0.0
VEILLEE A MAYUMBA,200000.0,200000.0,0.0,DETAILLE,100.0
RESTAURATION A MAYUMBA,363225.0,363225.0,0.0,DETAILLE,100.0
BOISSON,340000.0,340000.0,0.0,DETAILLE,100.0
VAISSELLE ET NETTOYAGE,50400.0,50400.0,0.0,DETAILLE,100.0
COMMUNICATION,40000.0,40000.0,0.0,DETAILLE,100.0
DIVERS,290000.0,290000.0,0.0,DETAILLE,100.0
