CATEGORIE,DESIGNATION,PRIX_UNITAIRE,QUANTITE,MONTANT,QUANTITE_REELLE,MONTANT_REEL,ECART,PROGRESSION,STATUT
SAFF,DESIGNATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
SAFF,SAAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
SAFF,CERCEUIL,535680.0,1.0,535680.0,0.0,0.0,-535680.0,0.0,A FAIRE
SAFF,PLAQUE D'IDENTIFICATION,30000.0,1.0,30000.0,0.0,0.0,-30000.0,0.0,A FAIRE
SAFF,CROIX,12400.0,1.0,12400.0,0.0,0.0,-12400.0,0.0,A FAIRE
SAFF,CONSERVATION ET PRISE EN CHARGE,12400.0,24.0,297600.0,0.0,0.0,-297600.0,0.0,A FAIRE
SAFF,TRAITEMENT DU CORPS,111600.0,1.0,111600.0,0.0,0.0,-111600.0,0.0,A FAIRE
SAFF,COURONNE,70000.0,1.0,70000.0,0.0,0.0,-70000.0,0.0,A FAIRE
SAFF,TENUE COMPLETE,100000.0,1.0,100000.0,0.0,0.0,-100000.0,0.0,A FAIRE
SAFF,POLIANNE,10000.0,1.0,10000.0,0.0,0.0,-10000.0,0.0,A FAIRE
SAFF,SCOTCH,1000.0,1.0,1000.0,0.0,0.0,-1000.0,0.0,A FAIRE
SAFF,EXPOSITION DU CORPS (2H) AVEC TOUT,142000.0,1.0,142000.0,0.0,0.0,-142000.0,0.0,A FAIRE
EXPOSITION A SAFF,BUDGET CEREMONIE D'EXPOSITION A SAAF DE 2H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
EXPOSITION A SAFF,EAU MINERALE,200.0,200.0,40000.0,0.0,0.0,-40000.0,0.0,A FAIRE
EXPOSITION A SAFF,CHEWING-GUM,1250.0,2.0,2500.0,0.0,0.0,-2500.0,0.0,A FAIRE
EXPOSITION A SAFF,BONBONS,1250.0,2.0,2500.0,0.0,0.0,-2500.0,0.0,A FAIRE
TRANSPORT,TRANSPORT DU CORPS ET DE LA FAMILLE LBV-MAYUMBA-LBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
TRANSPORT,LOCATION DU BUS COASTER,850000.0,1.0,850000.0,0.0,0.0,-850000.0,0.0,A FAIRE
CAVEAU,CAVEAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,CREUSAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,BRIQUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,SACS DE CIMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,LATTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,SACS DE GRAVIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,SACS DE SABLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,POINTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,BARRES DE FER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
CAVEAU,MAIN D'ŒUVRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
VEILLEE A MAYUMBA,VEILLEE A MAYUMBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
VEILLEE A MAYUMBA,PETITE TENTE,20000.0,2.0,40000.0,0.0,0.0,-40000.0,0.0,A FAIRE
VEILLEE A MAYUMBA,GRANDE TENTE,30000.0,1.0,30000.0,0.0,0.0,-30000.0,0.0,A FAIRE
VEILLEE A MAYUMBA,CHAISE,250.0,200.0,50000.0,0.0,0.0,-50000.0,0.0,A FAIRE
VEILLEE A MAYUMBA,CHAPELLE,70000.0,1.0,70000.0,0.0,0.0,-70000.0,0.0,A FAIRE
VEILLEE A MAYUMBA,BOUGIE,5000.0,2.0,10000.0,0.0,0.0,-10000.0,0.0,A FAIRE
VEILLEE A MAYUMBA,SONO (GRATUIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
RESTAURATION A MAYUMBA,RESTAURATION A MAYUMBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A FAIRE
